rg1,rg2,rg3,rg4,rg5,rg6,rg7,rg8,rg9,rg10,rx1,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rwin
211,-481,813,-510,-6300,-11604,-11250,-12173,-9383,-12760,449,355,180,-201,-7177,-19438,-11526,-18157,-12920,-10431,1
-134,791,1103,2325,2876,3538,5852,12342,17285,23674,-152,32,1413,4073,4825,4662,8527,20429,26383,26947,1
375,84,1492,2228,2456,3101,3385,7585,10735,15302,336,-483,1480,2969,4029,4821,5515,11215,15483,16068,1
-5,-237,-2554,-4067,-5170,-9697,-6521,-8911,-11193,-17962,305,-181,-2624,-5898,-7992,-17896,-11590,-14125,-20101,-22070,0
-1312,-2163,-2603,-2954,-7162,-9955,-12429,-2616,5078,21501,-705,-851,1999,2729,1643,-3338,-5591,7249,15120,15032,1
-509,308,-92,1588,3829,4971,7108,7909,10743,17702,-270,-199,-501,1073,2162,5027,5552,6940,11438,20360,1
582,1173,1763,2182,3528,2472,-667,162,-837,-4793,49,914,1017,996,4272,2578,771,-776,-2541,-5222,0
-371,373,906,1253,758,-1146,-2607,-1039,3220,8918,-66,622,830,179,-58,-817,-830,1716,8789,14847,1
577,612,914,1781,2919,3833,3738,2985,3300,7712,249,-219,-148,602,792,947,1773,2031,1063,10519,1
340,297,186,-135,-1059,-3002,-5033,-7434,-6543,-8373,-37,-897,-452,-1,1259,-4279,-6328,-8849,-1969,-2329,0
-1218,-1609,-4191,-6465,-6069,-10853,-11708,-11103,-15207,-25255,-374,-128,-1059,-3581,-3274,-4003,-5905,-6175,-10381,-10389,0
844,794,291,758,423,995,2118,4244,7977,12050,320,31,-463,56,-243,1116,2247,3321,2925,6672,1
296,765,789,1411,4696,4556,5190,4486,7357,11574,638,1188,836,2193,3927,2819,3227,1709,660,9887,1
503,650,171,311,-1015,-2021,1659,4489,7315,12266,297,886,632,1164,547,-529,5350,13359,14846,11507,1
301,853,259,248,-996,-3880,-5209,-9534,-11260,-17469,230,336,-470,1833,-322,-5000,-9696,-14402,-17300,-26947,0
-1556,-1492,-4021,-5985,-4907,-2776,-3634,-7172,-9006,-14844,-703,-1381,-2350,-3946,-3813,-3866,-4445,-12404,-19897,-27185,0
566,2749,4418,6388,6300,9502,5651,3808,-1727,-2436,780,3211,4676,5718,4945,10095,4786,2431,-1160,-2886,0
-479,-277,-525,-630,-2133,-3077,-5221,-9816,-9808,-11093,6,-321,-288,-953,-1590,-1982,-4624,-7574,-6564,-8238,0
757,2405,987,592,103,-2228,-8139,-10406,-10233,-14101,350,1823,-39,-3214,-3253,-9886,-18503,-21427,-15707,-14866,0
415,866,1303,2201,4179,6712,4820,8473,7624,13632,330,1833,3273,4365,3385,7189,3796,10408,7926,18810,1
0,-1040,-3385,-3324,-2168,2320,841,5715,8684,7856,-763,-1229,-2170,-977,-2050,5686,5630,7382,14687,9401,1
-81,283,724,1539,2531,2754,2378,3005,5260,6014,-124,257,689,1495,2375,2569,2209,3361,5953,5112,1
-782,-815,-648,-3150,-3475,-2867,-4390,-6526,-13112,-20164,-507,-484,-809,-2135,-1226,-351,-525,-4212,-10890,-17021,0
35,-481,-233,-175,53,-694,-583,-1931,-4488,-9856,57,-1449,-1067,-1484,-707,-1053,-1224,-3572,-6621,-15793,0
512,1704,2826,3892,4303,5556,10601,10318,12260,9616,128,480,636,17,-1900,-31,4834,3516,8544,1359,1
-327,-450,349,238,3151,5419,8099,9718,8434,10410,-472,-812,-514,-442,1704,5241,6629,8273,5949,10046,1
-98,57,-194,-1204,-3402,-3468,-3025,-4160,-8709,-6215,192,302,-564,-1332,-2822,-2477,-3596,-3584,-3317,-655,0
454,2344,5033,6201,7769,7756,7709,10144,8088,1753,259,2637,5577,5047,8625,5035,2769,6950,3740,-2096,0
547,131,-791,-111,1618,1600,-67,365,6840,10764,773,21,105,867,4861,3822,520,887,10186,16211,1
11,-2398,-4943,-4770,-162,2248,8334,17641,22123,27564,-113,-1995,-2829,-3981,2368,4768,16716,29685,28149,32262,1
-679,-1635,-2048,-2865,-2609,-569,-1046,2598,6718,5645,-666,-2033,-1971,-4093,-1948,1094,-1715,7938,11920,15403,1
-754,-1291,-699,-1469,-1656,-4522,-5964,-6322,-7067,-18658,154,-529,48,-1073,-390,-3310,-3762,-4886,-3655,-17011,0
285,2091,2318,3693,5074,6622,9224,11212,13986,13254,-114,511,956,2837,3355,4793,5108,6312,6467,6376,1
399,-66,-439,-3378,-4219,-2463,-3507,2686,4572,7123,273,-323,-987,-2753,-4641,-2450,-451,8777,11740,15636,1
94,-1211,-1619,-512,462,2823,2588,5728,6480,10113,279,-662,-1323,529,1611,4161,5665,8594,13507,21623,1
352,307,2011,4066,5640,7039,8731,9477,10488,18343,536,325,1703,2316,5565,7394,5619,10285,11311,17126,1
73,562,800,674,1322,2694,6316,3263,3957,14786,213,851,1476,1455,1253,939,4118,-540,2250,15966,1
201,390,-390,44,916,-989,386,-1677,-7093,-12021,390,1011,207,637,2173,1784,5403,3395,-3657,-6811,0
-1061,-1110,-759,-366,-7022,-14733,-17598,-23994,-28242,-31550,-1269,-881,1659,3181,-4148,-17056,-20140,-18150,-14888,-10195,0
631,613,211,2675,-590,-434,2276,6170,6708,14965,-288,-980,-1514,996,-2124,-3136,4533,11685,12428,20946,1
-779,-1221,-1116,-4520,-3979,1240,2789,2112,2026,12890,-610,-1742,-1309,-1776,-898,7544,5153,2157,7405,19769,1
-51,-192,793,1754,2718,5794,3998,6286,14934,18878,-72,-194,808,2699,4547,7881,9395,8361,16976,13807,1
248,575,-52,971,2953,-12,33,-5162,-7874,-8894,390,191,-969,120,2754,-2060,1011,-6412,-11559,-13747,0
273,-777,901,-2435,-4010,-5192,-6099,-7671,-4242,7866,-201,-1127,-299,-3821,-6520,-4347,-4970,1168,3870,17975,0
403,171,351,1457,2064,24,471,466,-2258,-10321,886,563,914,474,2527,-50,1000,1674,-5326,-21391,0
477,1054,1772,3008,5355,6905,7581,6783,8644,11045,119,361,1137,979,2632,3230,2939,5332,8159,16115,1
-62,-828,-2132,-2605,2015,210,-4583,-7450,-10556,-16970,319,-1116,-1979,-3136,4997,-420,-6368,-6943,-11030,-16024,0
244,741,318,-2179,-3898,-4863,932,-2714,-2502,-1290,-901,-1492,-3216,-5909,-10279,-7969,359,-8955,-3901,-2357,0
-60,-369,-957,-764,-4067,-4095,-1606,-6475,-10477,-13274,-366,-834,-651,-2644,-5596,-6450,-3377,-9339,-16225,-8610,0
-273,-215,-2129,-4300,-7961,-10373,-9875,-11792,-15516,-20160,-972,-1187,-1568,-1731,-4369,-6548,-7059,-9354,-13355,-17392,0
1032,-207,-1288,-886,-257,-2613,-5306,-7352,1161,332,-192,-2282,-1893,1699,4748,-2094,-217,-11,6108,7498,0
-1351,-2586,-4281,-4396,-3260,-1060,-1460,-1659,-3170,-2291,-436,-1138,-2431,-1337,-1430,1632,1858,886,1263,3063,0
543,1751,1286,1319,982,1803,1383,586,2416,4771,161,1150,602,-373,-1188,1568,712,1354,2771,7776,1
1772,2349,2955,834,602,3197,9185,5023,4054,7870,1146,2010,3442,-758,2511,6744,5581,863,3185,3148,1
202,265,790,1142,1778,1902,2257,2468,6008,8831,-340,-720,-293,-67,439,899,1674,1868,7311,8660,1
1101,2838,4016,3690,8335,11952,18350,15028,14610,16158,506,2453,2379,102,3749,6196,11398,5606,5654,2377,1
92,366,-927,-1447,-2125,-3129,-4024,-5806,-2745,-3311,-972,-827,-1458,-2127,-2183,-2812,-3846,-8930,-3618,-3614,0
-1916,-1472,-3919,-6918,-9134,-8923,-7433,-4942,-12775,-17782,-618,-318,-2393,-4101,-6718,-7474,-7390,-6250,-16190,-22424,0
-681,-891,-127,-294,-1316,-3058,-4869,-7201,-12167,-17529,-469,-1115,-223,-2090,-2937,-4416,-6723,-11077,-16245,-22302,0
542,1343,569,1658,884,974,749,426,842,3742,-147,93,-243,1458,1140,296,-181,474,1629,3425,1
-1226,-1835,-3443,-3603,-3707,-5291,-7451,-1613,-5036,-9463,-297,-615,-1792,-3915,-4861,-8438,-12517,-1468,-6706,-7005,0
-515,23,-1242,-2403,-5502,-6297,-9272,-9463,-9137,-12870,-391,188,-1458,-2218,-3326,-4802,-9918,-12976,-13598,-23170,0
-309,-992,-1239,-1423,-2110,-6039,-10191,-13770,-10462,-16203,-429,-1110,-1152,-2087,-3099,-4223,-7183,-12292,-6895,-13037,0
135,854,2066,2465,3475,5342,6948,7423,5662,9148,-121,409,1462,1797,2517,3555,6580,7160,5967,11983,1
-190,551,-1130,-362,21,-512,3,1237,2404,4465,245,747,-1585,79,1596,1915,1956,-3516,822,9624,1
51,-171,-939,-228,847,3999,10379,9672,13843,21060,223,-79,-514,887,3958,7830,11990,9638,12627,18299,1
-724,-304,-1096,-1654,-3723,-2758,-4861,-8313,-13158,-23406,-771,-437,-1487,-3664,-6746,-6931,-10734,-14517,-22954,-34116,0
-483,19,-587,-658,-2130,-3408,-4130,-2935,-5119,-13673,47,362,-134,-896,-2158,-3477,-3473,-842,-7625,-19692,0
774,1607,-234,-344,-87,-1260,42,428,4244,10216,214,1158,90,-1243,-2241,-2088,-39,550,8041,13015,1
-35,731,1597,4441,9690,9588,6027,6128,9480,10965,642,2025,2492,5449,14017,9445,4519,4990,6038,5751,1
540,197,219,147,187,-83,-3686,-2922,-2695,-6989,629,123,644,1311,-376,-1417,-3767,-3828,-3561,-5887,0
272,205,452,719,612,1270,1262,2423,3161,6041,579,601,632,1022,950,1996,2112,3097,4376,10583,1
-466,-516,-571,-1047,-2480,-3806,-6657,-11051,-10209,-15083,-103,-360,-679,-1256,-758,-2987,-7787,-12701,-10896,-11270,0
375,619,-400,-385,-629,-3110,-5682,-7013,-7883,-15417,-119,369,-787,-1026,483,-1955,-1963,-5436,-6676,-15111,0
29,-410,-346,-2005,-2885,-5572,-5106,-6847,-12389,-12413,36,245,-96,-1628,-2349,-3557,-1718,-5841,-10456,-15314,0
-63,266,109,-307,196,-1383,-2813,-3621,-13151,-14764,66,584,1221,-218,1719,-235,-486,172,-12610,-15617,0
-355,-620,338,4112,5275,4610,2255,-1507,-1573,3890,66,-57,460,6582,6589,3191,121,-7850,-10648,2465,1
109,724,423,1376,2259,1944,390,802,8564,10969,-162,105,-508,-349,-1188,-1318,-5973,-2423,5354,8198,0
-266,32,107,-1026,-1906,-4916,-11919,-14044,-14590,-25948,-386,-634,378,-3191,1725,-2452,-11174,-8666,-177,-5403,0
-828,-1336,-3966,-4534,-4707,-5524,-5065,-3902,-1486,-4624,-504,-188,-3503,-3122,-8045,-9462,-10817,-10287,-7165,-8851,0
170,225,-399,-4136,-2240,-598,-3324,-11149,-15783,-14151,330,775,-588,-1306,542,11004,5020,-4588,-2558,7135,0
-275,-521,-1376,-1391,-5117,-7232,-7650,-10357,-11224,-18314,20,-278,-973,-1972,-5150,-9414,-8014,-12159,-13771,-18483,0
47,2174,2900,3080,5470,9581,8727,11839,13034,15686,1200,2730,4045,4011,6842,10748,11389,12894,13971,10442,1
-485,34,876,2547,4917,5808,5760,10521,12498,19139,-346,1076,2521,4778,6282,6552,5970,9290,12032,18513,1
-25,-54,-780,648,51,836,-578,1209,2572,8076,343,380,549,1158,1021,-365,-1109,764,3180,10041,1
-537,186,922,966,4123,9668,10917,16160,20046,20452,137,749,2074,2756,7891,15248,15303,28134,35059,31977,1
173,-562,-147,-187,23,-1077,-5881,-9229,-5623,-11493,395,-910,-805,-3418,-2844,-6511,-18629,-25438,-18424,-22707,0
89,-87,-761,-1674,-3256,-5314,-7878,-11800,-13872,-17203,250,-492,-1130,-3072,-5038,-7686,-9096,-12976,-18406,-22113,0
-253,673,711,96,-100,493,4170,10129,10904,13340,-197,734,1171,473,265,3725,6581,10539,13643,16484,1
267,343,1880,2629,905,-2419,-4589,-4861,323,-3753,17,-623,1579,3274,5430,303,-1819,-3459,11245,14304,0
-82,131,-984,-1775,-3062,-4852,-1268,-1757,-3934,-6790,-147,628,598,201,-3237,-5436,-2732,-7630,-6723,-14876,0
583,604,-677,-1546,-4505,-5819,-7807,-11829,-19394,-24261,-180,-292,-1725,-2928,-6383,-7073,-6047,-10429,-18310,-23625,0
-534,166,556,-1350,-1911,2979,6504,10814,17618,16218,-1167,1034,992,-2041,-6915,4419,6106,218,-3920,-4936,1
147,125,7,-1980,-1804,-6426,-4967,-8460,-11345,-13979,-199,-888,-520,-1720,397,-6826,-6574,-14966,-24472,-30831,0
-366,187,233,-615,-1822,-2859,-4254,-5833,-8036,-11018,-237,113,160,-401,-1112,-1012,-740,-3275,-6533,-6909,0
815,987,918,2745,6595,4976,8566,14196,16414,20637,750,635,299,3583,10318,9050,13363,24204,23917,22775,1
90,1298,-1773,-5738,-8358,-11238,-10562,-17377,-16420,-7906,1055,2689,-2054,-6055,-12213,-22757,-27609,-30592,-17890,-12833,0
207,-398,168,-522,376,3224,4860,9857,12764,16948,195,-875,-1030,-2778,-2011,2702,6212,13130,20938,28074,1
123,-927,32,-1686,-3763,-6249,-8517,-4958,-5958,-9571,12,-1024,-471,-2412,-7189,-12591,-16808,-13484,-21234,-22709,0
-838,-795,-44,-797,715,1413,2204,3444,1812,1852,-228,-610,-324,-1582,1504,2060,2524,3857,762,3181,1
22,1230,1154,862,213,322,1598,1689,2745,-77,-79,1465,1691,1019,1606,2181,3271,1900,2474,-3116,1
551,1365,2353,2976,4404,2549,8319,10949,7312,11913,846,2421,3489,2553,2447,947,7257,10390,6579,9493,1
-428,-366,929,208,3513,4641,5961,7826,10200,21028,81,124,1405,485,2759,2698,2987,4801,8885,14665,1
392,1071,1681,689,2433,2450,5898,5711,5439,6977,657,1870,2170,2153,3200,3593,6409,6479,6776,8361,1
-364,-296,-1166,-1619,-1401,-3167,-7496,-8428,-11159,-18884,-102,537,-905,-1657,-1583,-2490,-8093,-8342,-11344,-18663,0
-9,516,1281,1584,2117,1469,898,3002,-2262,-6434,-532,241,1026,919,1311,-1903,-6285,-4094,-13885,-21750,0
-491,198,1140,-1108,-2275,-2249,-8425,-11735,-10443,-17602,371,62,-11,-3055,-3868,-4208,-14726,-20021,-19771,-24391,0
85,-1730,-2749,-1008,-262,1664,1659,2727,318,1689,-103,-2244,-2495,-4826,-2740,-355,-146,1825,-2105,2800,0
352,329,-339,-1967,-4271,-8523,-11727,-13167,-16704,-28015,-69,-274,-1310,-1829,-3898,-8974,-12280,-12121,-15270,-22119,0
693,319,626,641,-1802,-2554,-8325,-5551,-11847,-17897,688,454,882,-387,-3591,-5849,-13536,-3486,-10149,-17095,0
84,-54,907,528,2524,5413,7936,8210,8051,10883,349,633,1063,246,980,3693,4856,4762,4495,7283,1
-434,-1502,-1539,-2181,-406,-569,3401,-470,4785,9468,-1076,-1662,-1521,-3085,238,434,5072,-1466,5411,6913,1
987,1049,653,902,-687,-1256,-163,-1059,-969,5775,1131,1452,1197,1615,-1524,-4507,-3047,-4783,-7241,-1274,1
-479,-1250,-2467,-2627,373,852,728,2138,4384,35,-40,-1108,-620,1009,6707,2893,6088,9453,5828,-2796,1
221,-447,-898,-4241,-1374,-3938,-5713,-7643,-6505,-2458,97,-654,-1053,-3064,2828,6480,2895,5197,8993,11316,0
-334,-45,241,2163,963,415,414,-1661,-2708,-6453,-410,-429,-112,757,-1101,2292,2270,-682,4373,-222,0
399,667,-26,47,283,605,-3057,-2776,-5271,-4171,265,1027,611,2458,3206,3906,-508,199,-613,1387,0
-314,-14,604,469,1852,2154,4627,8757,13031,14668,-115,273,882,233,1381,1231,4236,8908,11303,14780,1
-877,-236,405,-611,-168,-2066,-4911,-3355,-5614,-12316,-50,193,1036,46,1462,-3067,-3996,-8600,-3947,-10017,0
-417,-1789,-3310,-4609,-6219,-8749,-11917,-16501,-21843,-29634,-108,-937,-2285,-2959,-3393,-5325,-8474,-11785,-15931,-20152,0
849,1523,1595,2115,1901,2028,4926,6342,6895,13277,724,1521,1032,1346,2530,1939,4961,6520,10912,14918,1
756,1702,434,-1615,-3028,-7037,-8248,-9659,-11056,-20486,1214,3430,1282,-480,-2205,-7523,-6903,-6962,-7321,-5898,0
74,500,2212,3407,3701,5887,7314,12224,17209,27048,181,473,2429,3782,4204,5605,8137,15180,25305,36663,1
587,1041,1175,523,130,2203,355,3752,5947,14518,190,989,1285,178,1422,3421,-569,6314,7524,16192,1
-413,-247,-939,-1638,-3041,-3158,-3488,-8376,-12508,-17435,-286,-415,-1004,-1475,-3332,-3788,-4435,-7052,-11716,-22248,0
333,-332,-1671,-4523,-5067,-4857,-6130,-2930,-7676,-9000,-728,-996,-1362,-3979,-6708,-8065,-7107,-2836,-5779,-5705,0
418,692,88,-505,-149,1157,6882,13742,11275,11806,-61,-49,-579,-998,-910,-528,8878,14718,10397,10539,1
-158,-2043,430,-19,642,3047,3758,4111,7754,11260,-435,-906,23,132,1167,-719,-1738,-497,2814,4748,1
148,-480,-1259,-1411,-1706,-3879,-4366,-5485,-6382,-9615,-188,-1114,-1198,-1331,-1470,-2561,-3245,-4370,-5074,-9550,0
229,738,661,2153,4393,6149,3245,8322,6566,13056,329,1195,1119,2301,4004,2863,352,4984,3108,11970,1
-85,897,1543,4097,3940,4648,6478,8157,13804,20788,-97,480,1073,2030,1759,4628,6846,10673,16820,20718,1
225,657,-264,970,5638,7200,1002,711,-2828,-2247,-407,-559,-2253,-1296,-738,-1343,-7858,-5521,-9711,-7119,1
-1099,-1011,-1772,-4058,-7024,-9552,-13038,-11549,-10018,-23070,36,-476,-930,-3178,-3985,-7344,-8936,-5819,-3467,-14932,0
242,229,-565,-1177,-314,-372,1064,-1622,-4001,-19516,-439,-832,-1579,-3002,-48,-1572,-1738,-6300,-10224,-26815,0
-810,-20,1352,7035,7648,7243,13133,15379,16431,21059,190,1085,3026,7054,8489,7425,17823,17017,19800,28434,1
-553,-566,-762,-772,-433,1664,3917,6292,8574,15522,-32,192,-161,-362,702,3893,4630,8381,8145,15946,1
260,297,237,-971,-2133,-1006,-5842,-2696,-4777,-12772,144,1366,1513,504,-2596,-2618,-6567,-2452,-3616,-14499,0
58,-303,-671,-1196,-1506,4381,2247,1188,7603,12972,335,57,-89,-1045,1110,6406,6782,7311,17761,22083,1
917,281,-83,-652,394,1405,2483,2568,8099,8678,662,-711,-1343,-723,1008,970,1702,1656,7474,7326,1
-260,-1200,-193,-416,-3347,-1451,-2372,-4668,-3278,1862,460,-54,198,267,-2714,-3253,-5508,-3469,988,410,1
-130,-652,-2022,-534,-954,-878,-2497,3099,2317,6379,-97,-746,-1842,50,-801,-1034,-4129,3580,-68,12705,1
-229,-308,-2194,-2104,-2671,42,904,6660,18057,20278,-450,-765,-4099,-2452,-3715,-3441,-2853,6834,14686,22548,1
-1426,-4338,-9818,-16122,-16910,-13075,-10394,-9189,-7380,8849,-1659,-3920,-7800,-15912,-17930,-13466,-9862,-10242,-6026,2872,1
1316,693,2629,2330,2609,3180,1252,-3429,-1110,-6144,832,9,1141,-10,-615,913,-2265,-11515,-9275,-18058,0
-262,606,3075,6223,5399,4311,4502,6069,6129,11199,84,867,2859,3711,2950,1197,2904,-1119,-2576,9025,1
-206,-490,-925,-1669,-1265,-592,-1288,2734,3526,4185,307,583,251,-736,-618,-1199,-981,1984,1469,4987,1
-1474,-1997,-2406,-3039,-3105,-3413,-4099,-5054,-5829,-14314,-513,-580,-1142,-214,-1420,-4476,-5359,-9033,-13765,-23656,0
277,-92,-217,-3385,-2930,-4269,-8861,-4957,683,7694,147,129,33,-2674,-4072,-6637,-8793,-149,8463,10567,1
-14,1092,1007,3580,3626,416,-3753,-2556,-4280,-9539,-268,735,240,767,375,-6800,-9173,-7232,-8952,-17214,0
10,-21,-510,-901,-2244,-1770,-1611,-4058,-5864,-9150,-235,-927,-2477,-3052,-3326,-2738,-3918,-8067,-9917,-14551,0
12,-146,-1276,-3305,-3333,-1764,-7084,-7982,-9481,-23367,-164,439,-699,-2713,-1213,-2912,-8363,-9761,-12091,-18779,0
-218,-751,-1087,-2401,-3582,-5268,-7777,-11532,-15174,-19115,189,-694,-1046,-547,-1967,-1188,-5603,-13793,-17990,-22082,0
367,-1063,94,-1366,-1902,-4089,-4365,-6095,-9532,-7993,167,-652,81,-1111,-4362,-9093,-10534,-17281,-25739,-27720,0
236,285,1835,-1072,-2023,-3996,-6345,-6686,-6412,-12000,570,695,2245,-1730,-3815,-7760,-10531,-12503,-16276,-22766,0
-1128,267,4446,6705,8229,2506,-1578,-6270,-8830,-10877,-629,1047,4210,8057,11697,3307,-5228,-5059,-10360,-2018,0
302,-849,-1487,-1514,-2015,-3745,-3569,-2917,-8967,-10728,-107,-1833,-2180,-2097,-2608,-5168,-5327,-5708,-12861,-15117,0
-558,-1307,-811,36,-2089,-1716,-1872,-1726,-1097,3991,38,-211,539,2184,275,-1341,-3143,-3456,3247,2733,1
941,1798,2392,4888,4889,7522,7057,5544,8781,19682,80,1084,1402,2665,1903,5496,9727,7326,11619,27613,1
385,580,2091,2303,6848,6844,6669,8641,6365,8542,91,870,2400,2474,7118,3862,3239,1041,-2485,1376,1
-388,-1208,-2214,-3281,-5391,-6683,-8238,-12000,-14440,-18364,-543,-1580,-2795,-3736,-5752,-6259,-10101,-18652,-16282,-23723,0
535,73,1164,2370,4656,9773,12875,22511,19785,22925,434,657,2186,4056,7504,12718,16067,20561,14166,22962,1
1038,348,3620,1636,3751,6701,8857,6437,5232,5376,683,-516,3088,565,2214,7302,9465,-1210,-5282,-3644,1
-661,-1172,-591,1316,796,940,2380,1548,8991,13350,-425,-1283,-405,-58,-1788,-1044,2354,-1156,6456,11108,1
-1018,-1095,-1155,1387,5945,8062,12092,12150,13432,17458,-1138,-1603,-1556,972,4992,8183,10937,12808,13755,24244,1
734,-803,-102,-9,693,540,-1983,131,3458,9514,525,-464,457,1642,3538,10218,12462,16760,17840,18472,1
237,401,694,1031,1020,-1384,-2610,-3638,-6610,-9243,208,87,269,541,1221,-2895,-4938,-4982,-10768,-13033,0
496,786,2636,1842,2898,2042,7449,13399,11760,6569,593,1082,1653,1781,3340,1924,9224,16331,8124,3039,1
-380,-125,-885,-1093,1523,1887,5171,6345,6319,7215,48,-333,-1580,-1357,566,1812,4643,5686,5006,28,1
-340,-431,66,829,-1558,-3665,-8905,-7746,-9726,-19967,-368,-221,69,102,-2306,-2690,-9739,-3581,-2808,-15678,0
1185,2542,3364,5935,5232,6406,9153,7198,10309,20728,1182,2388,2956,4805,3081,4295,9365,4014,9708,18609,1
-362,-310,763,2430,3412,8437,5302,8924,9216,2910,449,-64,166,4679,7028,16231,13521,17241,10424,1315,0
404,2735,4761,6366,6185,6401,3915,-1297,344,-1267,-29,2135,4502,5940,5739,5157,1444,-6863,4441,-2408,0
490,292,-656,-2796,-2450,-2384,-2912,-5958,-4189,-18359,20,-376,-736,-4454,-2861,-5075,-8578,-14263,-14055,-32659,0
-77,-726,407,-1355,-3791,-5305,-7788,-12341,-17683,-20491,380,-920,-482,-2429,-4064,-8214,-12860,-18758,-24129,-21477,0
-358,-2559,-1842,-2419,-3809,-6733,-5602,-3561,-1487,-3474,-472,-3535,-2887,-1900,-1294,-1002,3759,5289,903,-6318,0
-4,630,1467,1716,2918,3896,5225,7083,9884,11972,-211,622,1454,1820,3123,4225,4907,7032,12328,13330,1
-883,-981,-1221,-3823,-3070,-3681,-4740,-516,389,5113,-100,382,-440,-3321,-2023,-5219,-2072,2237,447,9421,1
-436,-1273,-1774,-3178,-2434,-2409,-2946,-7631,-7303,-16462,606,-169,-661,-2936,-1290,-3024,-9274,-11233,-20370,-30399,0
323,659,700,3780,6461,8106,8558,11507,15412,17831,-528,-660,50,3081,5802,6733,6352,13199,18291,22943,1
-124,-776,-723,1425,1755,3029,3943,6365,8518,10567,-226,-861,-1356,958,2033,3070,3139,5155,11124,14622,1
-1316,-1538,-3354,-1160,-3611,-4319,-6961,-5348,-7018,-9347,-1298,-1534,-2653,-845,-3399,-7587,-9791,-6524,-16224,-13681,0
169,528,1439,1119,3881,5437,9484,11416,13143,6873,6,263,1361,-1937,-718,3267,10808,14298,10464,6765,1
-335,-443,786,130,1011,1601,636,-1364,-5460,-13030,475,-195,984,-142,36,580,-2198,-7770,-13926,-23650,0
-1780,-3697,-5144,-7276,-7347,-8357,-10021,-10395,-17468,-23416,-222,-1302,-4535,-4552,-3114,-4942,-7981,-12815,-19480,-16704,0
-168,135,701,3174,4453,6312,5811,7621,10284,15553,178,1111,2261,5196,6206,7170,7255,9972,12053,17049,1
-21,2758,3721,8180,8895,5630,5603,-305,-3472,-2829,298,3103,4469,8273,7502,1338,4901,-6157,-9706,-4903,0
1016,2586,2306,2225,6776,5066,4152,13026,11587,16903,1420,2532,2814,879,5707,430,-3478,8664,5201,11939,1
510,294,425,1153,1847,2046,2205,4397,9410,11337,310,-235,474,636,1416,1309,-878,-451,765,3168,1
-803,-821,291,1744,1866,-2748,530,3325,-2231,-9280,-698,-1364,330,1804,157,-3677,2632,3068,-1958,-8313,1
-23,-99,-360,-842,-180,1426,2210,5089,6773,20408,-270,-716,-965,-720,1159,7095,8338,11818,16272,31950,1
-489,412,2781,8016,7869,12509,15187,13393,18740,22950,-168,1441,4877,10530,9396,14119,15009,14535,14152,12017,1
-930,-1363,-2003,-3776,-3085,-5540,-7639,-10531,-9957,-21794,-148,-12,-68,-1535,-862,-2258,-5295,-8799,-9680,-26772,0
-534,527,702,942,1632,3101,5773,6284,6584,13420,-27,815,1361,-363,480,1120,5131,6685,7178,12733,1
-154,-396,-65,2125,5228,5637,9670,11698,9060,20630,536,-462,196,1832,4163,6026,8774,13031,9745,20222,1
558,94,31,1227,-1296,-3816,-2293,-1907,-5761,-12956,-119,244,-513,745,-827,-6489,-3492,-2009,-10815,-21486,0
640,643,1846,4273,4514,4301,6839,7760,8327,12617,337,692,1558,3498,2974,1747,3246,6091,6625,8927,1
290,568,1163,1062,765,-70,727,717,2636,-2094,-216,-313,912,-419,-2108,-3079,-246,-1775,185,-9774,0
-502,-939,-1949,-2146,-4193,-5455,-8133,-8024,-9078,-12966,-1009,-1050,-2190,-608,-4547,-4742,-6871,-8316,-11266,-13403,0
-209,-1151,-2382,-3532,-5585,-8977,-13107,-16411,-22034,-21728,243,-834,-1847,-2156,-3686,-7286,-12962,-19537,-24522,-25936,0
595,860,940,-1084,-1547,-3467,-378,3313,7353,10583,1122,1637,1253,-2865,-7854,-12621,-5863,3157,8226,9321,1
-71,443,50,-1843,-3540,-3879,-5111,-6279,-9706,-12943,-214,-646,-1579,-3011,-3147,-1747,-3260,-4319,-8450,-7965,0
104,-275,-113,652,1173,632,-1896,-541,-39,4838,-29,-249,418,1315,-1316,-1659,-2905,-1003,3214,13683,1
-508,-1645,-1819,-2595,-3096,-5494,-7871,-9958,-9704,-10835,69,-211,-525,-1587,-1872,-2736,-4762,-6694,-6375,-7949,0
768,2134,2450,6399,7894,16401,14856,16028,14381,9274,-82,366,1066,6622,3235,12411,12787,14659,7806,611,1
883,1411,3453,4653,7304,11001,12224,12767,16090,20355,1432,1803,2750,3717,7012,9789,10141,10009,17904,18885,1
469,971,1965,2524,1374,2033,1998,5063,6801,7049,-146,280,1524,2895,2869,3185,5181,7402,6830,8783,1
484,670,1967,1079,-334,1273,551,3040,865,7444,809,969,2453,1119,-951,1607,-2174,-6198,-8651,-1599,1
-191,-722,-2064,-3481,-3338,-4066,427,3001,5153,7923,-160,-328,-1566,-1898,-1215,263,5411,4023,7952,11129,1
572,842,1419,3740,4156,3625,4620,4519,3827,4883,311,1006,1092,4338,3652,2565,4567,7012,8251,10744,1
-368,-740,-1628,1460,-54,1,3046,952,4285,-119,18,-66,1672,8084,7658,10791,13532,14028,17200,4268,0
1451,1914,1208,1657,4044,3208,3402,5209,7285,17121,598,977,-181,286,814,2219,5376,5623,9734,18573,1
