rg1,rg2,rg3,rg4,rg5,rg6,rg7,rg8,rg9,rg10,rx1,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rwin
560,-465,-1134,-310,-344,73,6039,6676,7771,20071,-63,-258,-1868,-4701,-7123,-7086,-4334,-7516,-9117,-3721,1
572,375,1871,145,-2498,-842,-1963,2610,9672,3530,58,-703,-704,-2626,-6356,-6924,-12508,-9349,1690,-10521,0
-612,-613,-78,861,-626,-4315,-6614,-10335,-9361,-20242,-380,-438,688,2175,740,-3583,-5626,-10379,-8421,-15404,0
195,-730,-555,-285,418,2806,5743,5124,5948,3249,287,-570,194,289,2432,5141,7402,2879,5510,12640,1
1226,2477,3059,278,885,6,5485,7982,14864,17152,-1028,-258,1979,-2686,-4448,-5694,7188,11886,17044,10773,1
-673,-331,-2363,-1633,-3525,-5222,-9917,-456,2682,8466,-708,1167,-339,-2561,-3248,-7923,-15751,-3370,1995,7914,1
575,2278,4267,3670,-1419,206,4455,7611,9587,-619,770,1309,527,-1701,-6053,-3081,6496,8436,7728,816,0
-535,-552,378,870,502,607,1161,4484,6781,9967,-475,-915,680,1269,-505,-55,8,4379,9079,18490,1
-162,-419,1123,1142,2973,325,2316,3678,8909,15252,-208,714,2431,4921,5464,2886,7588,10534,17307,21843,1
1089,513,1157,1076,1158,1114,1901,5003,9646,13533,246,-247,625,1086,1428,950,2509,5924,11771,19002,1
-677,-1171,-1456,-2442,-3008,-942,-239,1527,3134,6492,-317,-1030,-799,-2255,-1336,1237,3032,5427,6613,11596,1
193,701,1114,1323,1453,2132,4530,3161,5210,5462,344,590,726,1029,1662,1618,4492,2065,5599,3541,1
-440,-3010,-3230,-5255,-5695,-7285,-7024,-9419,-17368,-19284,-404,-3057,-2589,-4265,-3216,-6717,-4920,-6263,-13499,-16638,0
86,1846,1469,4415,5555,7634,8327,4843,3893,1497,-864,486,614,3007,7726,9525,14288,7099,6462,9106,0
-671,-1733,51,3073,84,564,676,5089,1702,-1941,-315,-1173,1358,1894,-2575,-922,-4172,-1543,-5098,-5874,1
1028,2297,3628,4029,2493,-1375,24,2761,-1958,-4404,519,1273,2234,2768,1673,-4419,-11112,824,-4190,-10314,0
749,1045,1543,2258,4896,7410,8741,12287,15609,23089,655,593,138,334,2771,4368,4503,8528,11719,19126,1
-449,249,-788,602,-2619,-4705,-5919,-6455,-6936,-6714,-654,-1100,-4245,-2946,-6424,-10872,-11866,-10720,-13611,-11018,1
681,463,1504,3803,6289,7205,11156,14379,22640,22023,1112,226,378,1044,5447,5301,9435,11995,19123,20308,1
1101,1351,339,-483,-2227,-3224,-4627,-5018,107,12051,9,-80,-2463,-1522,-5730,-7637,-12723,-12088,-2058,6480,1
-538,-1597,-2370,-4648,-8430,-8457,-9925,-11168,-10588,-16627,-238,-1700,-1692,-2698,-6640,-3935,-5469,-3673,-3475,-7788,0
752,1428,1347,-330,-1723,-4126,-4610,-3979,2718,8029,296,707,1187,-2723,-7298,-12520,-11747,-8785,-5300,-2062,1
723,295,-779,-279,965,-847,-4423,-5781,-1874,-329,177,-742,-2046,-2345,-1754,-774,-7151,-6270,-715,5793,0
-427,-1694,-3545,-6269,-10790,-11240,-14231,-21441,-28790,-23512,-675,-2575,-2910,-4471,-4404,-3919,-2839,-6208,-17240,-14809,1
-304,709,1465,201,-2789,-4192,-9249,-10808,-10078,-18271,143,1458,2378,1419,-2681,-3300,-10462,-10105,-4074,-11106,0
-101,-88,-785,-1356,-1651,-1598,-3015,-3629,-4117,-6907,-164,-123,-415,-1082,-1508,-1330,-2061,-2563,-3044,-3801,0
-972,-681,17,1865,2487,359,-1283,-2069,-3273,-12748,680,1288,1371,1224,-999,-386,-9824,-6633,-14055,-26197,0
858,1090,2010,2577,3393,6072,6174,7352,9946,14850,-216,-142,417,1342,3108,5370,5968,6283,9483,16501,1
219,501,-207,426,-2813,-4106,-3852,-5477,-7653,-12160,-361,586,638,2105,371,-668,104,-4637,-5221,-10472,0
839,1569,3039,3663,3540,3797,1989,1283,8071,5272,-262,494,1694,3321,192,763,-1633,-5418,2830,3466,1
489,-1249,-2785,-2073,-3265,-6195,-9244,-9790,-8558,-9684,-213,-1720,-1723,-184,-4003,-8995,-14640,-15565,-10247,-15633,0
266,-805,-3084,-3450,-6356,-5810,-6920,-6083,-4612,-9751,251,-1316,-5676,-5993,-3246,-6537,-12337,-9066,-8348,-10494,0
-63,-875,-924,-1572,-2645,-4461,-9455,-12692,-17758,-22760,56,-914,-1537,-2024,-4087,-7334,-13721,-24232,-25229,-32066,0
